District Formula,State Formula,Products/Services identified with Export Potential
Ahmedabad ,Gujarat,"Pharma, Textile, Engineering, Plastics"
Aurangabad ,Maharashtra,"Engineering, Pharmaceuticals and Agriculture products, Engineering services, PaithaniSarees and Fabrics,  MarathwadaKesar Mango,  Beed Custard Apple"
Bellary ,Karnataka,"Granite, Jeans Pant, Apparels Jute products, Engineering products, Electrical Machinery and Transport Equipment, Engineering/Iron ore based value added products, Pomegranate, Chilies"
Bengaluru Urban ,Karnataka,"Processed Foods, Vegetables and Flowers, Engineering Machine tools/ Automobile & Auto components/ Aerospace components / Precision components, Earth moving machinery, Defence manufacturing,  Electrical machinery, etc., ESDM products. Pharma & Biotech, Electrical machinery, Plant extracts, FIBC bags & packaging products, Readymade garments/Textiles. Services-Hospital/ Health/ Wellness/ Educational, Engineering Services, Global Research & Development, Hub for manufacturing/ Global Development Centre, IT/ITES."
Bharuch ,Gujarat,"Chemicals,  Banana"
Chennai ,Tamil Nadu,"Biotechnology, Food processing, Marine products, Jewellery products, Apparels,  Software and software services"
Coimbatore ,Tamil Nadu,"Engineering Products such as  Foundry, Motors & Pumps, Automobile Engineering Components, Iron Castings, Aluminium Castings, Wet Grinders & Home Appliances, Textiles such as Yarn & Fabrics, Poultry Products, Vegetables, Coconut & Coir Products, KovaiKora Cotton Sarees, Coimbatore Wet Grinder ( Banana)"
Dadra And Nagar Haveli ,Dadra & Nagar Haveli,"Yarn, Fabrics, Pharmaceuticals, Cables, Rubber, Plastic Products,  Readymade garments, Engineering products"
Dakshina Kannada ,Karnataka,"Cashew nuts (Ullal 1,2,3)  and Spices, Marine products, Jack Fruit, Plastic components, Light Engineering (Auto components, Electrical, Plastic machinery etc.), Tourism, Value added plastic items( Woven Sacks/FIBC), optical items, Moulded& extracted items, packaging items, plastic components."
DevbhumiDwarka ,Gujarat,Marine & Fisheries
East Godavari ,Andhra Pradesh,"Coir and Coir Products, Rice, Sugar, Frozen Shrimp, Coir Fibre and Coir Pith, UppadaJamdaniSarees"
Gautam Buddha Nagar ,Uttar Pradesh,"Readymade Garments,  Basmati Rice, Meat, Electronic Goods, Engineering Goods"
Gurugram ,Haryana,Home Furnishing & Engineering Goods
Jaipur ,Rajasthan,"Gems &Jewellery, Garments, Furniture, Services Exports and others, Toys, Blue Pottery of Jaipur"
Jamnagar ,Gujarat,"JamnagariBandhani, Brass Articles"
Jharsuguda ,Odisha,"Aluminium, Products,  Chilly, Ginger"
Kanchipuram ,Tamil Nadu,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk"
Kolkata ,West Bengal,"Lychee, MaldaLaxmanBhog Mango, MaldaKhirsapati (Himsagar) Mango, MaldaFazli Mango"
Kutch ,Gujarat,"Mango, Kutch Embroidery, Kutch Shawls, Marine Products, Castor"
Mumbai ,Maharashtra,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Legal Services, Transport and Logistics Services, Management consulting services"
Mumbai Suburban ,Maharashtra,"Gems and Jewellery, Engineering, Pharmaceuticals, Chemicals, Textile, Leather, Plastics, Financial Services and Accounting & Auditing Services, Information Technology & Information Technology enabled Services (IT &ITeS),  Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services"
Palghar ,Maharashtra,"Chemicals, “Chikoo” (Sapodilla), Pharmaceuticals, Iron & Steel and Engineering Products, Textiles, Plastics related, Fisheries, Marine & Food Processing, Fruits & vegetables, Warli Painting (Handicraft) Focus Services - Tourism and Hospitality Services, Transport and Logistics Services"
Pune ,Maharashtra,"Purandhar Fig, Automobile and Engineering Goods, Agriculture products, Pharmaceuticals, Electronics products,  Pomegranate,  Grapes"
Raigad ,Maharashtra,"Iron & Steel Products, Chemicals, Pharmaceuticals, Engineering, Fisheries,  Marine & Food Processing, Ganesh Idol (Handicraft), Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT &ITeS),  Tourism and Hospitality Services, Education Services"
Surat ,Gujarat,"Textile,  Banana, Surat Zari Craft, Pomegranate"
Thane ,Maharashtra,"Chemicals, Plastics related, Pharmaceuticals, Engineering, Textiles, Plastics related, Transport and Logistics Services, Information Technology & Information Technology enabled Services (IT &ITeS),  Communication Services (Audio Visual Services - Motion picture and Video Tape production and distribution service), Management consulting Services, Engineering Services"
Tiruppur ,Tamil Nadu,Hosiery Garments & Apparels
Vadodara ,Gujarat,"Pharmaceuticals, Engineering"
Valsad ,Gujarat,"Chemical and paper,  Mango, Marine Products"
Visakhapatnam ,Andhra Pradesh,"Coconut based products, Alloy wheels, Cashew, Black Pepper, Sea foods, Turmeric, Honey, Handicrafts like Etikoppakka Toys, Minerals and Mineral Based Products (Apatite, Crystalline Lime Stone, Quartz, Vermiculite, White Clay, Ruby, Mica, Calcite, Red and Yellow Ochre), Silver Oak wood, Araku Coffee, Ginger Powder, Etikoppaka Toys"
